municipality,barangay,year,season,rain_m1,rain_m2,rain_m3,rain_m4,rain_m5,rain_m6,temp_m1,temp_m2,temp_m3,temp_m4,temp_m5,temp_m6,humid_m1,humid_m2,humid_m3,humid_m4,humid_m5,humid_m6,ndvi_m1,ndvi_m2,ndvi_m3,ndvi_m4,ndvi_m5,ndvi_m6,evi_m1,evi_m2,evi_m3,evi_m4,evi_m5,evi_m6,ndwi_m1,ndwi_m2,ndwi_m3,ndwi_m4,ndwi_m5,ndwi_m6,vv_m1,vv_m2,vv_m3,vv_m4,vv_m5,vv_m6,vh_m1,vh_m2,vh_m3,vh_m4,vh_m5,vh_m6,ndvi_present,s1_present,yield_mt_ha
City of Santa Rosa,Balibago,2025,Wet,368.5,323.2,290.4,254.2,208.0,69.9,27.39,27.29,26.73,27.12,26.97,26.31,82.78,81.91,85.26,83.51,83.63,81.87,,0.3565720526617843,,,0.36765612384926394,,,0.24923491718694454,,,0.24398774397267395,,,-0.34546471463890926,,,-0.36246099433353207,,-3.555477642457821,-4.351236340416312,-2.580865668250452,-4.410139167397413,-3.18306640300361,,-12.047243341267896,-10.472745544357126,-11.537765572941245,-10.537678336885724,-11.844299629610731,,2,5,4.25
City of Santa Rosa,Caingin,2021,Dry,108.6,91.9,63.2,22.2,79.8,231.7,25.1,25.17,26.72,27.88,28.81,27.93,81.75,80.92,78.69,70.63,75.02,81.25,0.17058667058756777,0.33967972860610846,,0.06995317709341678,0.31646300852126935,0.309506299657558,0.11822070267990624,0.23409253260580767,,0.07431343775322166,0.2558060644539309,0.3262821237935594,-0.2055197084113162,-0.3450889374286478,,-0.1738471385075623,-0.3290031460598416,-0.28011212127820173,-3.433844209401741,-3.570357741252477,-3.7357763103692,-3.639271536687644,-3.8060361562319063,-3.5396910072549805,-13.15150760793869,-12.819856367278405,-13.10088972316189,-12.901139303216329,-12.884696212011038,-12.510166134687005,5,6,4.733
City of Santa Rosa,Caingin,2021,Wet,282.0,182.8,360.0,204.0,46.7,80.0,27.46,27.33,26.94,26.89,27.51,25.93,83.44,83.78,86.7,84.03,77.47,76.43,,0.21579517162674428,0.3661621282239362,0.28856501886742325,,0.36624634514251864,,0.15739218614047618,0.2780273564125789,0.23518302542328587,,0.2623126938688679,,-0.19599433026576724,-0.3697982390567542,-0.31378577111781486,,-0.38031204148381553,-2.741339906163042,-5.54245926516645,-2.9956668042606087,-5.431650226104422,-3.4647167626768125,-5.541396029307949,-12.013316950253657,-10.783030469884398,-12.17092172272436,-10.726127701610197,-12.771097045038848,-10.898098808410374,4,6,5.1
City of Santa Rosa,Caingin,2022,Dry,33.1,21.8,24.7,59.5,215.1,265.8,25.92,26.26,27.74,27.63,28.03,27.65,72.65,74.93,72.74,74.3,78.5,81.8,0.25477102115942335,0.3220492368718263,0.338546542630045,0.309887561542286,0.3608980606965906,,0.21271134442514059,0.23443117310770972,0.26166435005237404,0.29849815877048014,0.29163030545743185,,-0.2613934750825037,-0.33617963875012674,-0.3604193543056256,-0.33880607565062276,-0.3620354733760161,,-5.687802199628428,-5.383088678735247,-5.609391544945088,-5.4530439447020855,-4.80353236719939,-4.743812801653186,-10.834689653486018,-10.810110576150867,-10.867485613551246,-10.652416032193798,-10.161422950460933,-10.187941872208686,5,6,5.0
City of Santa Rosa,Caingin,2022,Wet,299.2,369.6,274.8,438.8,77.0,120.2,27.04,26.56,26.65,27.01,26.83,25.75,86.57,87.31,86.0,83.49,83.37,81.53,0.3783421188047186,0.35978371788493174,0.3310873327794188,,0.2948872509201065,0.30669175301676416,0.3024053984635158,0.2803093603622352,0.2796030806807431,,0.1958329494230802,0.22279295818547562,-0.3726726888231416,-0.34643994620433854,-0.32284039069792425,,-0.29583391825958694,-0.32193347487900387,-4.569227161669304,-5.2921636716086615,-4.9132582208273385,-4.44738529492152,-4.380230588621885,-5.580363283485597,-10.00193539356261,-10.44496778350637,-10.117464849564616,-9.655099895233306,-9.766902174529942,-10.844450475543008,5,6,1.5
City of Santa Rosa,Caingin,2023,Dry,106.7,72.6,7.5,130.6,118.9,222.7,25.15,25.93,26.7,27.74,28.55,27.89,80.29,74.66,68.63,75.01,76.79,80.82,-0.14261233020159936,,0.2977472261510058,0.33157135178101504,0.337241929427656,0.3834112287773504,-0.023172958960963618,,0.2363215338382911,0.27595573269570883,0.29433545864336924,0.2901277483200893,0.12337612402107981,,-0.3219944713465942,-0.33796449699458775,-0.33888730362224384,-0.39261359489051223,-5.68932318520493,-5.690764137400553,-5.7266630233867,-5.387707810414722,-5.111035002526518,-4.524876535737878,-11.104262837360393,-10.940263193895849,-10.892804590699077,-10.708396315714628,-10.556149101890036,-9.97643303567985,5,6,4.867
City of Santa Rosa,Caingin,2023,Wet,338.5,96.5,344.9,169.9,85.3,38.3,27.94,28.09,27.63,27.55,27.14,26.63,81.31,80.29,83.28,81.88,81.44,82.48,0.3759896061013734,0.32554925321057177,0.36690024524418097,0.37760992144626443,,0.33605363937096167,0.2947717459814918,0.32028895206982955,0.2709847020757905,0.3337715952444305,,0.23792509408520254,-0.3696696955239195,-0.3012850710938201,-0.3705293353441094,-0.3667476120768136,,-0.35393547750249055,-4.545076103314734,-4.914528369356754,-4.707418470914301,-4.419501540818061,-4.935198510234817,-4.859309959148954,-10.165066601345469,-10.32329717894578,-10.041585359075523,-9.823252993970762,-10.116842132435812,-10.26663732144893,5,6,4.231
City of Santa Rosa,Caingin,2024,Dry,6.8,10.2,25.7,12.0,252.1,337.7,25.53,25.84,26.37,28.42,28.97,28.37,79.17,79.08,79.74,77.15,78.57,81.73,,0.364719999440094,,0.3705611349535012,,0.293091250390842,,0.27299018865606367,,0.28455437522447735,,0.2695714116722731,,-0.3931297873365281,,-0.3981143511111966,,-0.2190946201223816,-5.244987225884357,-5.067323409701168,-5.023658372796137,-4.979627792363873,-4.912005045244798,-4.781750866269342,-10.433659063424246,-10.325156954410097,-10.06861299890137,-10.257835298022275,-10.14450546371687,-9.86747194889797,3,6,4.722
City of Santa Rosa,Caingin,2024,Wet,445.0,275.9,307.0,308.7,62.4,189.7,27.43,27.86,27.6,27.49,27.47,26.18,83.7,82.99,83.88,82.46,81.65,84.76,,0.3182444891139356,0.37606860026292516,0.3872778224020301,0.3048707126103006,0.26874345240954434,,0.27480782165711076,0.26939047297272417,0.296752632811722,0.21311314546281376,0.22887757730206396,,-0.3101040842200871,-0.370394525967311,-0.3880408036739222,-0.3374648874445542,-0.2755850899373849,-2.284382665766885,-4.415513954301661,-4.656678424515269,-4.910730805010069,-5.244188187300214,-4.837508024271201,-11.62030225123728,-9.986709542523618,-10.189699341972863,-10.293089214707154,-10.698658523741798,-9.963679694414383,5,6,4.5
City of Santa Rosa,Caingin,2025,Dry,51.9,89.6,48.5,22.0,167.5,369.0,25.58,25.66,26.57,28.59,28.55,27.55,82.79,82.35,80.81,76.27,78.18,83.04,,0.2940420554523862,0.32945716222300675,0.3614957514012728,0.3435661510657493,,,0.20992524962920436,0.2682891237809372,0.3149474602764865,0.28606428231767833,,,-0.3063738246291691,-0.34672913004998757,-0.3582829229296938,-0.3574909872905305,,-5.180902796890455,-5.392775687484782,-5.397742479849408,-3.694500910312323,-4.8678191513311475,-2.0351248782177387,-10.786105179348771,-10.93482403724356,-10.684806474431168,-13.239705268443743,-10.253373850889387,-11.607697833636685,4,6,4.5
City of Santa Rosa,Caingin,2025,Wet,368.5,323.2,290.4,254.2,208.0,69.9,27.39,27.29,26.73,27.12,26.97,26.31,82.78,81.91,85.26,83.51,83.63,81.87,,0.30854103106490044,,,0.2734772897633243,,,0.24282296305808182,,,0.1834655293365399,,,-0.31396116984559985,,,-0.28813647995328684,,-2.784506829191649,-5.087571946966687,-2.2441541145957795,-5.105392287296221,-2.9533095074581412,,-12.124083617520396,-10.51948501545177,-11.52662669526519,-10.695264183971135,-12.574685093547902,,2,5,4.5
City of Santa Rosa,Dila,2021,Dry,108.6,91.9,63.2,22.2,79.8,231.7,25.1,25.17,26.72,27.88,28.81,27.93,81.75,80.92,78.69,70.63,75.02,81.25,0.4002601064901501,0.468998280518511,0.11835599690675735,0.3743734003009546,0.35889735889671964,0.3416930782916336,0.3071316634060321,0.33377293440228634,0.324741393327713,0.34933228104626973,0.27669005029289334,0.40508984846588164,-0.3993274830428786,-0.47310280351250145,-0.07086846977472305,-0.3832129078965414,-0.390276509719723,-0.28967143233702103,-4.264073334297432,-3.610064736107555,-4.44831514685264,-4.449163743014227,-4.604166859650916,-4.186574712772201,-11.597500644604793,-11.080931378130629,-11.83643836272682,-11.703095239022884,-11.988454872153719,-11.676198909985228,6,6,4.555
City of Santa Rosa,Dila,2021,Wet,282.0,182.8,360.0,204.0,46.7,80.0,27.46,27.33,26.94,26.89,27.51,25.93,83.44,83.78,86.7,84.03,77.47,76.43,,0.429132347780032,0.47256286147705867,0.44877478164939894,,0.48250391834562684,,0.3724475561839697,0.3435021307705727,0.32350429810090364,,0.32585595579345417,,-0.3875914908153093,-0.47073463737133475,-0.4616636659302644,,-0.48780994731955163,-3.5040921165503134,-5.07403424242963,-3.842901553217568,-4.721874647432041,-4.21964273193406,-4.917318494189776,-11.081386862763962,-11.640656724804789,-11.206576941354939,-11.371118132990766,-11.677626245276194,-11.581623866402312,4,6,5.019
City of Santa Rosa,Dila,2022,Dry,33.1,21.8,24.7,59.5,215.1,265.8,25.92,26.26,27.74,27.63,28.03,27.65,72.65,74.93,72.74,74.3,78.5,81.8,0.15433354577817227,0.4407336220907719,0.4276327750671125,0.4168107794616094,0.4448357793668866,,0.12444167220814957,0.3158505923600529,0.31439558312986887,0.373248728866842,0.3350049198631791,,-0.13287296940143276,-0.4475760867526058,-0.44841265441178474,-0.4107861694790419,-0.44337534408297,,-5.131221015060197,-4.938494797037876,-5.0097118442414175,-4.940823680321617,-4.1734689954365605,-4.186564958867225,-11.643647884934667,-11.501433192871081,-11.674726752252376,-11.529607485849223,-10.958576043383733,-11.00791512955522,5,6,5.14
City of Santa Rosa,Dila,2022,Wet,299.2,369.6,274.8,438.8,77.0,120.2,27.04,26.56,26.65,27.01,26.83,25.75,86.57,87.31,86.0,83.49,83.37,81.53,0.46466967730952463,0.44217168079279134,0.4253483501019406,,0.36665764557347624,0.4676940534668745,0.3295851752045245,0.3358258473296622,0.3897471923163026,,0.24078406670544036,0.32829389840441925,-0.4659448378973814,-0.4317136279122202,-0.41933974238094335,,-0.3743644058158525,-0.47075500345849247,-4.084390731816086,-4.7932160709454985,-4.065811331519003,-4.007990319884379,-3.666468307852861,-4.822262453600449,-10.82627784858726,-11.288801750633619,-10.686389375620573,-10.71706412160579,-10.634655197790208,-11.37107176556611,5,6,3.569
City of Santa Rosa,Dila,2023,Dry,106.7,72.6,7.5,130.6,118.9,222.7,25.15,25.93,26.7,27.74,28.55,27.89,80.29,74.66,68.63,75.01,76.79,80.82,0.48406703246383614,,0.37620415106650024,0.39692192136282256,0.38668960934732394,0.46531306815453843,0.37294223971526774,,0.28610878179272725,0.3073682008384734,0.3412157661895372,0.34423662853781106,-0.4659279650763183,,-0.402506614193022,-0.4150096663006099,-0.3760780003110839,-0.4739074737912465,-4.9853529131796614,-4.71035652789955,-4.89494948562944,-4.803193476352102,-4.765181233667645,-4.019381064608799,-11.449221556067362,-11.424539613213481,-11.655933765247857,-11.46522417179378,-11.501788906835703,-10.854966219502172,5,6,3.945
City of Santa Rosa,Dila,2023,Wet,338.5,96.5,344.9,169.9,85.3,38.3,27.94,28.09,27.63,27.55,27.14,26.63,81.31,80.29,83.28,81.88,81.44,82.48,0.42613280745759013,0.3823114309511786,0.471481509729939,0.37709413644238854,,,0.32000863002576513,0.40312420005630867,0.3268771183761213,0.34613391679456124,,,-0.42988563589313666,-0.352242492416777,-0.4752121047231334,-0.379088414793147,,,-3.8952831225151106,-4.145526917248969,-3.9898761442754114,-3.624161254970601,-4.064344763269843,-4.018744229946181,-10.77606050330271,-10.957382077395048,-10.804667760143978,-10.44205666916743,-10.861964078161115,-10.879285300231153,4,6,3.86
City of Santa Rosa,Dila,2024,Dry,6.8,10.2,25.7,12.0,252.1,337.7,25.53,25.84,26.37,28.42,28.97,28.37,79.17,79.08,79.74,77.15,78.57,81.73,0.0510415347913901,0.4068523049766539,-0.0006163995078002863,0.3525493765031838,,0.332471744998081,0.05345218007763227,0.31463262111608653,-0.012448743144473568,0.25706820388482815,,0.33741964514593786,-0.0853988757977883,-0.4302184931243691,-0.008778441189364952,-0.4058992142411247,,-0.33113108257184143,-4.704830487620263,-4.636990264253316,-4.719331868311747,-4.867034561373582,-4.843357308300075,-4.349669395501363,-11.250869161260754,-11.400926756844457,-11.204468808699716,-11.640761204519622,-11.419702806545471,-11.036671263437691,5,6,4.5
City of Santa Rosa,Dila,2024,Wet,445.0,275.9,307.0,308.7,62.4,189.7,27.43,27.86,27.6,27.49,27.47,26.18,83.7,82.99,83.88,82.46,81.65,84.76,,0.45793162083628747,0.46103664067874245,0.43478747097603176,0.43111382093265804,0.42186833114814926,,0.4103636874354711,0.33573121358740465,0.3190423147909697,0.3177838592549744,0.3494428823060488,,-0.4206311511655787,-0.46402414640296913,-0.44910855949771616,-0.437098351419822,-0.4106565021164586,-3.6287707088896575,-3.920496883092673,-4.26686867682243,-4.056495106881154,-4.602493953153724,-3.5447323259615526,-11.128901379310667,-10.601235978263508,-10.993210945906112,-10.65510581680994,-11.393262882466741,-10.270069277688318,5,6,4.5
City of Santa Rosa,Dila,2025,Dry,51.9,89.6,48.5,22.0,167.5,369.0,25.58,25.66,26.57,28.59,28.55,27.55,82.79,82.35,80.81,76.27,78.18,83.04,,0.3978196117627592,0.38260395856367174,0.3559118782667352,0.3646884609727141,,,0.2867767194810548,0.2923525089191422,0.3118252914623989,0.28381723614256293,,,-0.4128797579898411,-0.40988867526857325,-0.3719596201188444,-0.3893093000570259,,-4.2751512955122415,-4.577292412859638,-4.335034844585627,-4.750159893400429,-4.187506015714672,-2.8067356632439475,-11.02027268476822,-11.049248482320118,-11.184491283184961,-12.232462316543812,-10.832394578811046,-10.578346575996292,4,6,4.5
City of Santa Rosa,Dila,2025,Wet,368.5,323.2,290.4,254.2,208.0,69.9,27.39,27.29,26.73,27.12,26.97,26.31,82.78,81.91,85.26,83.51,83.63,81.87,,0.4340835430892774,,,0.45024834888813886,,,0.32902932353840225,,,0.2920295621242137,,,-0.43511419976670546,,,-0.452515398680144,,-3.657913706218405,-3.9584949325146312,-3.0544408058576282,-4.095232538756986,-3.618223174729326,,-10.963419786689325,-10.824496868295922,-10.596429216471916,-11.022110366154672,-11.008888389588705,,2,5,4.6
City of Santa Rosa,Dita,2021,Dry,108.6,91.9,63.2,22.2,79.8,231.7,25.1,25.17,26.72,27.88,28.81,27.93,81.75,80.92,78.69,70.63,75.02,81.25,0.4337358962059013,0.4747201163120708,0.005415062704640957,0.34863285676285927,0.35058310574732277,0.3830842597789005,0.3518987104752921,0.3359512169505459,0.008713055402040489,0.308162119624658,0.2590496172102115,0.5937556697548736,-0.41356015391923706,-0.46837076469387495,0.021511068153712485,-0.3614845117740711,-0.37832294175825454,-0.28955285037851625,-5.143200443701095,-4.448982299694443,-5.515559209337892,-5.581122689420231,-5.845174555635505,-5.138454686013707,-12.121544071923799,-11.487629338680165,-12.488074916745099,-12.368461793152733,-12.80282473650275,-12.187419322129983,6,6,4.923
City of Santa Rosa,Dita,2021,Wet,282.0,182.8,360.0,204.0,46.7,80.0,27.46,27.33,26.94,26.89,27.51,25.93,83.44,83.78,86.7,84.03,77.47,76.43,0.4033866710960862,0.4367814551958334,0.5018369778854758,0.4891469638843938,-0.01287660995413634,0.48709907997264146,0.3765493511750515,0.4409743515967281,0.3720647973874062,0.3491316565602053,-0.08797114168886433,0.3391506255211491,-0.36746758321272366,-0.39927438522339803,-0.47952794156967726,-0.4763451370788907,0.04354544641682878,-0.481182513971576,-4.448926583380646,-5.002858825996987,-4.853738472010975,-4.988717668520032,-5.085576961879384,-5.050532834501572,-11.545003023574045,-11.868815371396355,-11.782117528305518,-11.813470092932834,-12.073498174989675,-11.785593746375332,6,6,5.067
City of Santa Rosa,Dita,2022,Dry,33.1,21.8,24.7,59.5,215.1,265.8,25.92,26.26,27.74,27.63,28.03,27.65,72.65,74.93,72.74,74.3,78.5,81.8,0.11672237089666673,0.42809412088955945,0.42976969760116196,0.42213677130642246,0.47768384101078515,,0.07140417814445482,0.29786660628470274,0.30303522080772155,0.36866032501938284,0.366086631809774,,-0.1611886416026886,-0.4294610235891581,-0.4395414992658274,-0.40739167258054343,-0.4554117837340921,,-5.12164764663337,-5.150316940519621,-5.23456069406165,-5.0520973524906125,-4.310550556203446,-4.242804075181831,-11.87330685467063,-11.812800824193198,-11.897461045614964,-11.834050383766543,-11.321257953238147,-11.343596822338215,5,6,5.027
City of Santa Rosa,Dita,2022,Wet,299.2,369.6,274.8,438.8,77.0,120.2,27.04,26.56,26.65,27.01,26.83,25.75,86.57,87.31,86.0,83.49,83.37,81.53,0.5120530406327366,0.46176397744493736,0.4951946497760296,0.5258098443349203,0.433023117690034,0.5038561770029927,0.3721567468907895,0.37708177702815504,0.4326230066929365,0.36926279465357464,0.31872817936368103,0.36097574328074056,-0.48815774797541067,-0.43107698527813637,-0.4652713783528702,-0.4649700919787089,-0.40558603248857356,-0.48617661743958335,-4.067749439556238,-4.704606761086543,-4.124446791908056,-3.8729754395806237,-3.701173640742346,-4.890405179419831,-11.01646530893433,-11.554084950785343,-10.994204019289873,-10.802112231357256,-10.787288455610916,-11.61757798229524,6,6,4.341
City of Santa Rosa,Dita,2023,Dry,106.7,72.6,7.5,130.6,118.9,222.7,25.15,25.93,26.7,27.74,28.55,27.89,80.29,74.66,68.63,75.01,76.79,80.82,0.5307245458817118,0.3613749898450319,0.37900131872742215,0.4071373965995911,0.4173073754078238,0.512787223333361,0.38356740587518345,0.3461910049582638,0.27890968379697595,0.30782218883929907,0.36591501760870493,0.40591587561947834,-0.5085918223767154,-0.29836606580850694,-0.40000346328206693,-0.41297115000421974,-0.390164912710391,-0.48924168941180957,-5.048430852543002,-4.839921909289262,-5.212853817619012,-5.058612863421292,-4.933425046189695,-4.328727808349213,-11.740981910649776,-11.628119298956841,-11.914813334608937,-11.959230723997194,-11.767076779942299,-11.328146306698658,6,6,4.754
City of Santa Rosa,Dita,2023,Wet,338.5,96.5,344.9,169.9,85.3,38.3,27.94,28.09,27.63,27.55,27.14,26.63,81.31,80.29,83.28,81.88,81.44,82.48,0.4574433865591087,0.46099531016590284,0.5056123826794084,0.40284382605793034,,,0.36893339460155733,0.5114706445877493,0.35896125122406874,0.35999014861070067,,,-0.43904575579246935,-0.35780923643043216,-0.4867694297886155,-0.3886932749791975,,,-4.068455954324591,-4.374097391723637,-4.14796229525193,-3.7485782425915817,-4.226718140636034,-4.181575964073446,-11.16130458285389,-11.339609294390318,-11.075981658937842,-10.866170193203107,-11.077550855755025,-11.132669618062621,4,6,4.463
City of Santa Rosa,Dita,2024,Dry,6.8,10.2,25.7,12.0,252.1,337.7,25.53,25.84,26.37,28.42,28.97,28.37,79.17,79.08,79.74,77.15,78.57,81.73,0.011102098505944014,0.3879636103642403,0.2521017980166862,0.3570968185972806,,0.39187151590983077,0.02864453149959445,0.2716477157047962,0.17071687388689194,0.24737650663965757,,0.37066173561745225,-0.011099037326251466,-0.4182015691021724,-0.25785429945633964,-0.40830229137876045,,-0.3726322956383228,-4.9777863213411315,-5.110274644624521,-5.239661519718715,-5.352228077871654,-5.227364700111529,-4.565496557498384,-11.61204897451511,-11.849210503532037,-11.756088381481684,-12.334353009863271,-12.015474167845575,-11.442093223244212,5,6,4.618
