province,municipality,year,semester,season_type,yield_mt_ha,ecosystem,source_file,suspected_proxy
Laguna,Nagcarlan,2018,2,Wet,4.02554,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Paete,2018,2,Wet,3.9553,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pagsanjan,2018,2,Wet,3.75018,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pakil,2018,2,Wet,3.16682,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pangil,2018,2,Wet,3.83037,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pila,2018,2,Wet,4.00724,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Rizal,2018,2,Wet,4.03508,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Cruz,2018,2,Wet,3.93378,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Maria,2018,2,Wet,3.9053,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Siniloan,2018,2,Wet,3.82081,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Victoria,2018,2,Wet,4.00981,ALL ECOSYSTEMS,2018 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Alaminos,2019,1,Dry,5.32157,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Bay,2019,1,Dry,5.53773,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Calauan,2019,1,Dry,5.49966,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Cavinti,2019,1,Dry,4.82972,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Biñan,2019,1,Dry,5.01075,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Cabuyao,2019,1,Dry,5.20236,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Calamba,2019,1,Dry,5.19324,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of San Pablo,2019,1,Dry,5.2382,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Santa Rosa,2019,1,Dry,5.05812,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Famy,2019,1,Dry,5.50137,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Kalayaan,2019,1,Dry,5.17297,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Liliw,2019,1,Dry,5.45782,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Los Baños,2019,1,Dry,4.94872,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Luisiana,2019,1,Dry,4.87274,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Lumban,2019,1,Dry,5.44042,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Mabitac,2019,1,Dry,5.48666,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Magdalena,2019,1,Dry,5.3544,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Majayjay,2019,1,Dry,5.18956,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Nagcarlan,2019,1,Dry,5.22929,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Paete,2019,1,Dry,5.26066,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pagsanjan,2019,1,Dry,5.46951,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pakil,2019,1,Dry,4.96559,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pangil,2019,1,Dry,5.30267,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pila,2019,1,Dry,5.57892,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Rizal,2019,1,Dry,5.33963,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Cruz,2019,1,Dry,5.49557,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Maria,2019,1,Dry,5.59785,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Siniloan,2019,1,Dry,5.48044,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Victoria,2019,1,Dry,5.5251,ALL ECOSYSTEMS,2019 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Alaminos,2019,2,Wet,3.89553,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Bay,2019,2,Wet,3.94882,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Calauan,2019,2,Wet,3.97765,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Cavinti,2019,2,Wet,3.28399,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Biñan,2019,2,Wet,3.86146,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Cabuyao,2019,2,Wet,3.84049,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Calamba,2019,2,Wet,3.92698,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of San Pablo,2019,2,Wet,3.6876,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Santa Rosa,2019,2,Wet,3.87281,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Famy,2019,2,Wet,3.92523,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Kalayaan,2019,2,Wet,3.63169,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Liliw,2019,2,Wet,3.82739,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Los Baños,2019,2,Wet,3.85534,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Luisiana,2019,2,Wet,3.14246,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Lumban,2019,2,Wet,3.81428,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Mabitac,2019,2,Wet,3.97678,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Magdalena,2019,2,Wet,3.90164,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Majayjay,2019,2,Wet,3.69547,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Nagcarlan,2019,2,Wet,3.74352,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Paete,2019,2,Wet,3.88068,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pagsanjan,2019,2,Wet,3.75575,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pakil,2019,2,Wet,3.73828,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pangil,2019,2,Wet,3.90689,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pila,2019,2,Wet,3.8798,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Cruz,2019,2,Wet,3.88592,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Maria,2019,2,Wet,4.00648,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Siniloan,2019,2,Wet,4.07637,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Victoria,2019,2,Wet,3.9759,ALL ECOSYSTEMS,2019 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Alaminos,2020,1,Dry,4.48558,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Bay,2020,1,Dry,4.95975,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Calauan,2020,1,Dry,4.86492,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Cavinti,2020,1,Dry,3.65106,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Biñan,2020,1,Dry,4.3623,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Cabuyao,2020,1,Dry,4.50455,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Calamba,2020,1,Dry,4.62783,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of San Pablo,2020,1,Dry,4.59938,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Santa Rosa,2020,1,Dry,4.3054,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Famy,2020,1,Dry,4.8175,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,True
Laguna,Kalayaan,2020,1,Dry,4.22005,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Liliw,2020,1,Dry,4.8175,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,True
Laguna,Los Baños,2020,1,Dry,3.95452,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Luisiana,2020,1,Dry,3.52778,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Lumban,2020,1,Dry,4.5899,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Mabitac,2020,1,Dry,4.8744,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Magdalena,2020,1,Dry,4.67525,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Majayjay,2020,1,Dry,4.32437,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Nagcarlan,2020,1,Dry,4.60887,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,True
Laguna,Paete,2020,1,Dry,4.31489,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pagsanjan,2020,1,Dry,4.60887,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,True
Laguna,Pakil,2020,1,Dry,4.43817,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pangil,2020,1,Dry,4.7037,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pila,2020,1,Dry,5.01665,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Rizal,2020,1,Dry,4.39075,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Cruz,2020,1,Dry,4.85543,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Santa Maria,2020,1,Dry,5.07355,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Siniloan,2020,1,Dry,4.79853,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Victoria,2020,1,Dry,5.03561,ALL ECOSYSTEMS,2020 Semester 1 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Alaminos,2020,2,Wet,4.40556,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Bay,2020,2,Wet,4.42613,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Calauan,2020,2,Wet,4.34298,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Cavinti,2020,2,Wet,3.75327,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Biñan,2020,2,Wet,3.89642,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Cabuyao,2020,2,Wet,4.11742,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Calamba,2020,2,Wet,4.18893,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of San Pablo,2020,2,Wet,4.06137,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,City of Santa Rosa,2020,2,Wet,4.02827,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Famy,2020,2,Wet,4.39233,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Kalayaan,2020,2,Wet,3.85789,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Liliw,2020,2,Wet,4.28115,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Los Baños,2020,2,Wet,4.20271,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Luisiana,2020,2,Wet,3.426,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Lumban,2020,2,Wet,4.21103,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Mabitac,2020,2,Wet,4.33217,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Magdalena,2020,2,Wet,4.35344,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Majayjay,2020,2,Wet,4.31913,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Nagcarlan,2020,2,Wet,4.26213,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Paete,2020,2,Wet,3.98739,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
Laguna,Pagsanjan,2020,2,Wet,4.30847,ALL ECOSYSTEMS,2020 Semester 2 Average Yield of Palay in All Ecosystems in the Philippines by Municipality.xlsx,False
