municipality,barangay,year,season,area_ha,production_mt,yield_mt_ha
City of Calamba,Banlic,2025,Wet,7.97,32.76,4.11
City of Calamba,Banadero,2020,Dry,4.71,17.8,3.78
City of Calamba,Banadero,2020,Wet,11.61,42.61,3.67
City of Calamba,Banadero,2021,Dry,12.65,56.29,4.45
City of Calamba,Banadero,2021,Wet,25.88,102.23,3.95
City of Calamba,Banadero,2022,Dry,9.67,39.74,4.11
City of Calamba,Banadero,2022,Wet,5.99,20.31,3.39
City of Calamba,Banadero,2023,Dry,2.9,14.09,4.86
City of Calamba,Banadero,2023,Wet,15.91,65.07,4.09
City of Calamba,Banadero,2024,Dry,19.61,93.15,4.75
City of Calamba,Banadero,2024,Wet,16.79,78.41,4.67
City of Calamba,Banadero,2025,Dry,13.64,75.43,5.53
City of Calamba,Banadero,2025,Wet,15.24,69.04,4.53
City of Calamba,San Juan,2020,Dry,8.05,35.9,4.46
City of Calamba,San Juan,2020,Wet,12.67,42.57,3.36
City of Calamba,San Juan,2021,Dry,3.21,12.74,3.97
City of Calamba,San Juan,2021,Wet,9.08,32.69,3.6
City of Calamba,San Juan,2022,Dry,10.86,45.29,4.17
City of Calamba,San Juan,2022,Wet,9.24,33.54,3.63
City of Calamba,San Juan,2023,Dry,19.84,76.58,3.86
City of Calamba,San Juan,2023,Wet,1.5,6.4,4.27
City of Calamba,San Juan,2024,Dry,6.64,22.04,3.32
City of Calamba,San Juan,2024,Wet,3.73,12.76,3.42
City of Calamba,San Juan,2025,Dry,2.37,11.47,4.84
City of Calamba,San Juan,2025,Wet,15.48,71.67,4.63
City of Calamba,Sampiruhan,2020,Dry,25.31,106.56,4.21
City of Calamba,Sampiruhan,2020,Wet,15.15,61.51,4.06
City of Calamba,Sampiruhan,2021,Dry,6.82,28.44,4.17
City of Calamba,Sampiruhan,2021,Wet,11.16,47.1,4.22
City of Calamba,Sampiruhan,2022,Dry,12.56,55.01,4.38
City of Calamba,Sampiruhan,2022,Wet,14.66,65.82,4.49
City of Calamba,Sampiruhan,2023,Dry,12.21,52.26,4.28
City of Calamba,Sampiruhan,2023,Wet,9.1,32.85,3.61
City of Calamba,Sampiruhan,2024,Dry,5.78,27.11,4.69
City of Calamba,Sampiruhan,2024,Wet,7.41,29.05,3.92
City of Calamba,Sampiruhan,2025,Dry,17.7,69.03,3.9
City of Calamba,Sampiruhan,2025,Wet,40.27,143.36,3.56
City of Calamba,Palingon,2020,Dry,3.98,15.64,3.93
City of Calamba,Palingon,2020,Wet,39.91,188.77,4.73
City of Calamba,Palingon,2021,Dry,12.39,54.27,4.38
City of Calamba,Palingon,2021,Wet,2.47,8.65,3.5
City of Calamba,Palingon,2022,Dry,6.97,31.92,4.58
City of Calamba,Palingon,2022,Wet,9.51,43.27,4.55
City of Calamba,Palingon,2023,Dry,6.23,29.53,4.74
City of Calamba,Palingon,2023,Wet,10.74,52.09,4.85
City of Calamba,Palingon,2024,Dry,3.89,17.15,4.41
City of Calamba,Palingon,2024,Wet,4.87,21.82,4.48
City of Calamba,Palingon,2025,Dry,25.84,122.48,4.74
City of Calamba,Palingon,2025,Wet,8.19,27.68,3.38
City of Calamba,Lingga,2020,Dry,41.86,185.86,4.44
City of Calamba,Lingga,2020,Wet,7.09,34.81,4.91
City of Calamba,Lingga,2021,Dry,7.57,42.24,5.58
City of Calamba,Lingga,2021,Wet,11.94,54.33,4.55
City of Calamba,Lingga,2022,Dry,5.24,21.27,4.06
City of Calamba,Lingga,2022,Wet,12.16,51.32,4.22
City of Calamba,Lingga,2023,Dry,33.66,176.04,5.23
City of Calamba,Lingga,2023,Wet,2.26,11.86,5.25
City of Calamba,Lingga,2024,Dry,9.08,44.49,4.9
City of Calamba,Lingga,2024,Wet,5.14,27.6,5.37
City of Calamba,Lingga,2025,Dry,21.56,118.8,5.51
City of Calamba,Lingga,2025,Wet,1.76,8.75,4.97
City of Calamba,Bubuyan,2020,Dry,31.76,155.31,4.89
City of Calamba,Bubuyan,2020,Wet,6.03,28.4,4.71
City of Calamba,Bubuyan,2021,Dry,4.42,22.76,5.15
City of Calamba,Bubuyan,2021,Wet,3.28,14.46,4.41
City of Calamba,Bubuyan,2022,Dry,16.81,76.49,4.55
City of Calamba,Bubuyan,2022,Wet,2.69,12.56,4.67
City of Calamba,Bubuyan,2023,Dry,16.09,78.84,4.9
City of Calamba,Bubuyan,2023,Wet,14.23,68.45,4.81
City of Calamba,Bubuyan,2024,Dry,9.6,47.62,4.96
City of Calamba,Bubuyan,2024,Wet,4.02,19.54,4.86
City of Calamba,Bubuyan,2025,Dry,5.31,26.18,4.93
City of Calamba,Bubuyan,2025,Wet,33.56,139.95,4.17
City of Calamba,Burol,2020,Dry,7.51,31.54,4.2
City of Calamba,Burol,2020,Wet,8.82,39.25,4.45
City of Calamba,Burol,2021,Dry,19.73,82.27,4.17
City of Calamba,Burol,2021,Wet,5.36,22.99,4.29
City of Calamba,Burol,2022,Dry,12.71,51.73,4.07
City of Calamba,Burol,2022,Wet,6.63,26.72,4.03
City of Calamba,Burol,2023,Dry,22.28,100.71,4.52
City of Calamba,Burol,2023,Wet,16.65,69.26,4.16
City of Calamba,Burol,2024,Dry,9.58,40.33,4.21
City of Calamba,Burol,2024,Wet,7.32,32.13,4.39
City of Calamba,Burol,2025,Dry,12.12,51.99,4.29
City of Calamba,Burol,2025,Wet,4.12,18.09,4.39
City of Calamba,Hornalan,2020,Dry,6.69,33.99,5.08
City of Calamba,Hornalan,2020,Wet,3.52,15.98,4.54
City of Calamba,Hornalan,2021,Dry,2.54,11.25,4.43
City of Calamba,Hornalan,2021,Wet,6.37,23.89,3.75
City of Calamba,Hornalan,2022,Dry,7.24,37.65,5.2
City of Calamba,Hornalan,2022,Wet,7.86,39.61,5.04
City of Calamba,Hornalan,2023,Dry,17.54,94.72,5.4
City of Calamba,Hornalan,2023,Wet,10.0,45.9,4.59
City of Calamba,Hornalan,2024,Dry,17.96,87.64,4.88
City of Calamba,Hornalan,2024,Wet,12.53,61.52,4.91
City of Calamba,Hornalan,2025,Dry,16.87,88.23,5.23
City of Calamba,Hornalan,2025,Wet,24.98,117.41,4.7
City of Calamba,Bunggo,2020,Dry,5.83,27.75,4.76
City of Calamba,Bunggo,2020,Wet,24.65,98.35,3.99
City of Calamba,Bunggo,2021,Dry,2.9,14.59,5.03
City of Calamba,Bunggo,2021,Wet,22.88,108.68,4.75
City of Calamba,Bunggo,2022,Dry,18.93,91.43,4.83
City of Calamba,Bunggo,2022,Wet,12.81,51.37,4.01
City of Calamba,Bunggo,2023,Dry,5.47,28.12,5.14
City of Calamba,Bunggo,2023,Wet,3.73,19.99,5.36
City of Calamba,Bunggo,2024,Dry,10.88,50.16,4.61
City of Calamba,Bunggo,2024,Wet,9.99,35.76,3.58
City of Calamba,Bunggo,2025,Dry,16.14,79.89,4.95
City of Calamba,Bunggo,2025,Wet,9.5,49.88,5.25
