barangay,year,month,rainfall_mm,temp_mean_c,humidity_mean_pct,days
Canlalay,2025,6,346.7,27.41,86.35,30
Canlalay,2025,7,370.6,27.18,85.14,31
Canlalay,2025,8,295.5,27.18,83.96,31
Canlalay,2025,9,341.4,26.5,88.94,30
Canlalay,2025,10,238.1,27.02,86.7,31
Canlalay,2025,11,219.9,27.08,84.53,30
Canlalay,2025,12,64.5,26.82,79.39,31
Langkiwa,2020,1,46.4,25.32,79.43,31
Langkiwa,2020,2,32.5,24.98,74.08,29
Langkiwa,2020,3,9.7,27.15,72.36,31
Langkiwa,2020,4,20.3,28.24,71.51,30
Langkiwa,2020,5,286.8,28.68,78.5,31
Langkiwa,2020,6,242.9,27.68,82.63,30
Langkiwa,2020,7,337.4,27.06,85.37,31
Langkiwa,2020,8,306.8,26.53,87.42,31
Langkiwa,2020,9,237.9,26.87,87.05,30
Langkiwa,2020,10,484.0,26.05,89.98,31
Langkiwa,2020,11,423.3,25.94,85.72,30
Langkiwa,2020,12,345.5,25.65,87.07,31
Langkiwa,2021,1,132.8,24.65,82.81,31
Langkiwa,2021,2,68.2,24.76,81.88,28
Langkiwa,2021,3,56.8,26.33,80.0,31
Langkiwa,2021,4,16.8,27.65,71.36,30
Langkiwa,2021,5,80.9,28.73,75.01,31
Langkiwa,2021,6,269.4,27.46,82.7,30
Langkiwa,2021,7,273.5,26.94,85.3,31
Langkiwa,2021,8,250.0,26.91,85.03,31
Langkiwa,2021,9,446.1,26.45,88.34,30
Langkiwa,2021,10,234.3,26.31,86.36,31
Langkiwa,2021,11,64.5,26.93,80.16,30
Langkiwa,2021,12,78.5,25.55,77.37,31
Langkiwa,2022,1,32.3,25.52,73.91,31
Langkiwa,2022,2,28.8,26.04,75.32,28
Langkiwa,2022,3,32.6,27.61,72.64,31
Langkiwa,2022,4,64.0,27.42,74.63,30
Langkiwa,2022,5,289.1,27.85,78.12,31
Langkiwa,2022,6,324.6,27.24,82.54,30
Langkiwa,2022,7,376.5,26.6,87.33,31
Langkiwa,2022,8,528.4,26.05,88.39,31
Langkiwa,2022,9,357.0,26.15,87.11,30
Langkiwa,2022,10,485.2,26.4,85.97,31
Langkiwa,2022,11,113.6,26.3,85.33,30
Langkiwa,2022,12,99.8,25.32,82.81,31
Langkiwa,2023,1,114.5,24.79,81.23,31
Langkiwa,2023,2,70.9,25.6,75.21,28
Langkiwa,2023,3,11.6,26.46,69.12,31
Langkiwa,2023,4,134.2,27.51,75.06,30
Langkiwa,2023,5,127.0,28.3,76.99,31
Langkiwa,2023,6,284.7,27.39,82.66,30
Langkiwa,2023,7,314.1,27.34,83.05,31
Langkiwa,2023,8,77.0,27.73,79.25,31
Langkiwa,2023,9,294.1,26.96,85.85,30
Langkiwa,2023,10,148.2,27.0,82.98,31
Langkiwa,2023,11,85.2,27.1,78.81,30
Langkiwa,2023,12,37.5,26.71,78.92,31
Langkiwa,2024,1,10.6,25.82,73.39,31
Langkiwa,2024,2,10.1,26.22,72.95,29
Langkiwa,2024,3,24.1,26.86,73.04,31
Langkiwa,2024,4,11.8,29.14,69.37,30
Langkiwa,2024,5,225.4,29.3,74.17,31
Langkiwa,2024,6,348.6,27.71,85.13,30
Langkiwa,2024,7,474.7,26.65,87.47,31
Langkiwa,2024,8,239.8,27.08,85.91,31
Langkiwa,2024,9,290.4,26.83,86.58,30
Langkiwa,2024,10,349.0,26.68,85.77,31
Langkiwa,2024,11,80.8,27.33,79.66,30
Langkiwa,2024,12,171.3,25.77,85.29,31
Langkiwa,2025,1,50.6,25.41,81.11,31
Langkiwa,2025,2,89.2,25.65,79.39,28
Langkiwa,2025,3,58.4,26.95,74.67,31
Langkiwa,2025,4,15.7,29.36,67.98,30
Langkiwa,2025,5,145.2,28.59,75.46,31
Langkiwa,2025,6,346.7,26.84,86.3,30
Langkiwa,2025,7,370.6,26.62,85.08,31
Langkiwa,2025,8,295.5,26.61,83.89,31
Langkiwa,2025,9,341.4,25.92,88.9,30
Langkiwa,2025,10,238.1,26.44,86.65,31
Langkiwa,2025,11,219.9,26.5,84.46,30
Langkiwa,2025,12,64.5,26.24,79.33,31
Loma,2020,1,46.4,25.32,79.43,31
Loma,2020,2,32.5,24.98,74.08,29
Loma,2020,3,9.7,27.15,72.36,31
Loma,2020,4,20.3,28.24,71.51,30
Loma,2020,5,286.8,28.68,78.5,31
Loma,2020,6,242.9,27.68,82.63,30
Loma,2020,7,337.4,27.06,85.37,31
Loma,2020,8,306.8,26.53,87.42,31
Loma,2020,9,237.9,26.87,87.05,30
Loma,2020,10,484.0,26.05,89.98,31
Loma,2020,11,423.3,25.94,85.72,30
Loma,2020,12,345.5,25.65,87.07,31
Loma,2021,1,132.8,24.65,82.81,31
Loma,2021,2,68.2,24.76,81.88,28
Loma,2021,3,56.8,26.33,80.0,31
Loma,2021,4,16.8,27.65,71.36,30
Loma,2021,5,80.9,28.73,75.01,31
Loma,2021,6,269.4,27.46,82.7,30
Loma,2021,7,273.5,26.94,85.3,31
Loma,2021,8,250.0,26.91,85.03,31
Loma,2021,9,446.1,26.45,88.34,30
Loma,2021,10,234.3,26.31,86.36,31
Loma,2021,11,64.5,26.93,80.16,30
Loma,2021,12,78.5,25.55,77.37,31
Loma,2022,1,32.3,25.52,73.91,31
Loma,2022,2,28.8,26.04,75.32,28
Loma,2022,3,32.6,27.61,72.64,31
Loma,2022,4,64.0,27.42,74.63,30
Loma,2022,5,289.1,27.85,78.12,31
Loma,2022,6,324.6,27.24,82.54,30
Loma,2022,7,376.5,26.6,87.33,31
Loma,2022,8,528.4,26.05,88.39,31
Loma,2022,9,357.0,26.15,87.11,30
Loma,2022,10,485.2,26.4,85.97,31
Loma,2022,11,113.6,26.3,85.33,30
Loma,2022,12,99.8,25.32,82.81,31
Loma,2023,1,114.5,24.79,81.23,31
Loma,2023,2,70.9,25.6,75.21,28
Loma,2023,3,11.6,26.46,69.12,31
Loma,2023,4,134.2,27.51,75.06,30
Loma,2023,5,127.0,28.3,76.99,31
Loma,2023,6,284.7,27.39,82.66,30
Loma,2023,7,314.1,27.34,83.05,31
Loma,2023,8,77.0,27.73,79.25,31
Loma,2023,9,294.1,26.96,85.85,30
Loma,2023,10,148.2,27.0,82.98,31
Loma,2023,11,85.2,27.1,78.81,30
Loma,2023,12,37.5,26.71,78.92,31
Loma,2024,1,10.6,25.82,73.39,31
Loma,2024,2,10.1,26.22,72.95,29
Loma,2024,3,24.1,26.86,73.04,31
Loma,2024,4,11.8,29.14,69.37,30
Loma,2024,5,225.4,29.3,74.17,31
Loma,2024,6,348.6,27.71,85.13,30
Loma,2024,7,474.7,26.65,87.47,31
Loma,2024,8,239.8,27.08,85.91,31
Loma,2024,9,290.4,26.83,86.58,30
Loma,2024,10,349.0,26.68,85.77,31
Loma,2024,11,80.8,27.33,79.66,30
Loma,2024,12,171.3,25.77,85.29,31
Loma,2025,1,50.6,25.41,81.11,31
Loma,2025,2,89.2,25.65,79.39,28
Loma,2025,3,58.4,26.95,74.67,31
Loma,2025,4,15.7,29.36,67.98,30
Loma,2025,5,145.2,28.59,75.46,31
Loma,2025,6,346.7,26.84,86.3,30
Loma,2025,7,370.6,26.62,85.08,31
Loma,2025,8,295.5,26.61,83.89,31
Loma,2025,9,341.4,25.92,88.9,30
Loma,2025,10,238.1,26.44,86.65,31
Loma,2025,11,219.9,26.5,84.46,30
Loma,2025,12,64.5,26.24,79.33,31
Platero,2020,1,46.4,25.32,79.43,31
Platero,2020,2,32.5,24.98,74.08,29
Platero,2020,3,9.7,27.15,72.36,31
Platero,2020,4,20.3,28.24,71.51,30
Platero,2020,5,286.8,28.68,78.5,31
Platero,2020,6,242.9,27.68,82.63,30
Platero,2020,7,337.4,27.06,85.37,31
Platero,2020,8,306.8,26.53,87.42,31
Platero,2020,9,237.9,26.87,87.05,30
Platero,2020,10,484.0,26.05,89.98,31
Platero,2020,11,423.3,25.94,85.72,30
Platero,2020,12,345.5,25.65,87.07,31
Platero,2021,1,132.8,24.65,82.81,31
Platero,2021,2,68.2,24.76,81.88,28
Platero,2021,3,56.8,26.33,80.0,31
Platero,2021,4,16.8,27.65,71.36,30
Platero,2021,5,80.9,28.73,75.01,31
Platero,2021,6,269.4,27.46,82.7,30
Platero,2021,7,273.5,26.94,85.3,31
Platero,2021,8,250.0,26.91,85.03,31
Platero,2021,9,446.1,26.45,88.34,30
Platero,2021,10,234.3,26.31,86.36,31
Platero,2021,11,64.5,26.93,80.16,30
Platero,2021,12,78.5,25.55,77.37,31
Platero,2022,1,32.3,25.52,73.91,31
Platero,2022,2,28.8,26.04,75.32,28
Platero,2022,3,32.6,27.61,72.64,31
Platero,2022,4,64.0,27.42,74.63,30
Platero,2022,5,289.1,27.85,78.12,31
Platero,2022,6,324.6,27.24,82.54,30
Platero,2022,7,376.5,26.6,87.33,31
Platero,2022,8,528.4,26.05,88.39,31
Platero,2022,9,357.0,26.15,87.11,30
Platero,2022,10,485.2,26.4,85.97,31
Platero,2022,11,113.6,26.3,85.33,30
Platero,2022,12,99.8,25.32,82.81,31
Platero,2023,1,114.5,24.79,81.23,31
Platero,2023,2,70.9,25.6,75.21,28
Platero,2023,3,11.6,26.46,69.12,31
Platero,2023,4,134.2,27.51,75.06,30
Platero,2023,5,127.0,28.3,76.99,31
Platero,2023,6,284.7,27.39,82.66,30
Platero,2023,7,314.1,27.34,83.05,31
Platero,2023,8,77.0,27.73,79.25,31
Platero,2023,9,294.1,26.96,85.85,30
Platero,2023,10,148.2,27.0,82.98,31
Platero,2023,11,85.2,27.1,78.81,30
Platero,2023,12,37.5,26.71,78.92,31
Platero,2024,1,10.6,25.82,73.39,31
Platero,2024,2,10.1,26.22,72.95,29
Platero,2024,3,24.1,26.86,73.04,31
Platero,2024,4,11.8,29.14,69.37,30
Platero,2024,5,225.4,29.3,74.17,31
Platero,2024,6,348.6,27.71,85.13,30
Platero,2024,7,474.7,26.65,87.47,31
Platero,2024,8,239.8,27.08,85.91,31
Platero,2024,9,290.4,26.83,86.58,30
Platero,2024,10,349.0,26.68,85.77,31
Platero,2024,11,80.8,27.33,79.66,30
Platero,2024,12,171.3,25.77,85.29,31
Platero,2025,1,50.6,25.41,81.11,31
Platero,2025,2,89.2,25.65,79.39,28
Platero,2025,3,58.4,26.95,74.67,31
Platero,2025,4,15.7,29.36,67.98,30
Platero,2025,5,145.2,28.59,75.46,31
Platero,2025,6,346.7,26.84,86.3,30
Platero,2025,7,370.6,26.62,85.08,31
Platero,2025,8,295.5,26.61,83.89,31
Platero,2025,9,341.4,25.92,88.9,30
Platero,2025,10,238.1,26.44,86.65,31
Platero,2025,11,219.9,26.5,84.46,30
Platero,2025,12,64.5,26.24,79.33,31
San Francisco,2020,1,46.4,25.32,79.43,31
San Francisco,2020,2,32.5,24.98,74.08,29
San Francisco,2020,3,9.7,27.15,72.36,31
San Francisco,2020,4,20.3,28.24,71.51,30
San Francisco,2020,5,286.8,28.68,78.5,31
San Francisco,2020,6,242.9,27.68,82.63,30
San Francisco,2020,7,337.4,27.06,85.37,31
San Francisco,2020,8,306.8,26.53,87.42,31
San Francisco,2020,9,237.9,26.87,87.05,30
San Francisco,2020,10,484.0,26.05,89.98,31
San Francisco,2020,11,423.3,25.94,85.72,30
San Francisco,2020,12,345.5,25.65,87.07,31
San Francisco,2021,1,132.8,24.65,82.81,31
San Francisco,2021,2,68.2,24.76,81.88,28
San Francisco,2021,3,56.8,26.33,80.0,31
San Francisco,2021,4,16.8,27.65,71.36,30
San Francisco,2021,5,80.9,28.73,75.01,31
San Francisco,2021,6,269.4,27.46,82.7,30
San Francisco,2021,7,273.5,26.94,85.3,31
San Francisco,2021,8,250.0,26.91,85.03,31
San Francisco,2021,9,446.1,26.45,88.34,30
San Francisco,2021,10,234.3,26.31,86.36,31
San Francisco,2021,11,64.5,26.93,80.16,30
San Francisco,2021,12,78.5,25.55,77.37,31
San Francisco,2022,1,32.3,25.52,73.91,31
San Francisco,2022,2,28.8,26.04,75.32,28
San Francisco,2022,3,32.6,27.61,72.64,31
San Francisco,2022,4,64.0,27.42,74.63,30
San Francisco,2022,5,289.1,27.85,78.12,31
San Francisco,2022,6,324.6,27.24,82.54,30
San Francisco,2022,7,376.5,26.6,87.33,31
San Francisco,2022,8,528.4,26.05,88.39,31
San Francisco,2022,9,357.0,26.15,87.11,30
San Francisco,2022,10,485.2,26.4,85.97,31
San Francisco,2022,11,113.6,26.3,85.33,30
San Francisco,2022,12,99.8,25.32,82.81,31
San Francisco,2023,1,114.5,24.79,81.23,31
San Francisco,2023,2,70.9,25.6,75.21,28
San Francisco,2023,3,11.6,26.46,69.12,31
San Francisco,2023,4,134.2,27.51,75.06,30
San Francisco,2023,5,127.0,28.3,76.99,31
San Francisco,2023,6,284.7,27.39,82.66,30
San Francisco,2023,7,314.1,27.34,83.05,31
San Francisco,2023,8,77.0,27.73,79.25,31
San Francisco,2023,9,294.1,26.96,85.85,30
San Francisco,2023,10,148.2,27.0,82.98,31
San Francisco,2023,11,85.2,27.1,78.81,30
San Francisco,2023,12,37.5,26.71,78.92,31
San Francisco,2024,1,10.6,25.82,73.39,31
San Francisco,2024,2,10.1,26.22,72.95,29
San Francisco,2024,3,24.1,26.86,73.04,31
San Francisco,2024,4,11.8,29.14,69.37,30
San Francisco,2024,5,225.4,29.3,74.17,31
San Francisco,2024,6,348.6,27.71,85.13,30
San Francisco,2024,7,474.7,26.65,87.47,31
San Francisco,2024,8,239.8,27.08,85.91,31
San Francisco,2024,9,290.4,26.83,86.58,30
San Francisco,2024,10,349.0,26.68,85.77,31
San Francisco,2024,11,80.8,27.33,79.66,30
San Francisco,2024,12,171.3,25.77,85.29,31
San Francisco,2025,1,50.6,25.41,81.11,31
San Francisco,2025,2,89.2,25.65,79.39,28
San Francisco,2025,3,58.4,26.95,74.67,31
San Francisco,2025,4,15.7,29.36,67.98,30
San Francisco,2025,5,145.2,28.59,75.46,31
San Francisco,2025,6,346.7,26.84,86.3,30
San Francisco,2025,7,370.6,26.62,85.08,31
San Francisco,2025,8,295.5,26.61,83.89,31
San Francisco,2025,9,341.4,25.92,88.9,30
San Francisco,2025,10,238.1,26.44,86.65,31
San Francisco,2025,11,219.9,26.5,84.46,30
San Francisco,2025,12,64.5,26.24,79.33,31
Timbao,2020,1,46.4,25.32,79.43,31
Timbao,2020,2,32.5,24.98,74.08,29
Timbao,2020,3,9.7,27.15,72.36,31
Timbao,2020,4,20.3,28.24,71.51,30
Timbao,2020,5,286.8,28.68,78.5,31
Timbao,2020,6,242.9,27.68,82.63,30
Timbao,2020,7,337.4,27.06,85.37,31
Timbao,2020,8,306.8,26.53,87.42,31
Timbao,2020,9,237.9,26.87,87.05,30
Timbao,2020,10,484.0,26.05,89.98,31
Timbao,2020,11,423.3,25.94,85.72,30
Timbao,2020,12,345.5,25.65,87.07,31
Timbao,2021,1,132.8,24.65,82.81,31
Timbao,2021,2,68.2,24.76,81.88,28
Timbao,2021,3,56.8,26.33,80.0,31
Timbao,2021,4,16.8,27.65,71.36,30
Timbao,2021,5,80.9,28.73,75.01,31
Timbao,2021,6,269.4,27.46,82.7,30
Timbao,2021,7,273.5,26.94,85.3,31
Timbao,2021,8,250.0,26.91,85.03,31
Timbao,2021,9,446.1,26.45,88.34,30
Timbao,2021,10,234.3,26.31,86.36,31
Timbao,2021,11,64.5,26.93,80.16,30
Timbao,2021,12,78.5,25.55,77.37,31
Timbao,2022,1,32.3,25.52,73.91,31
Timbao,2022,2,28.8,26.04,75.32,28
Timbao,2022,3,32.6,27.61,72.64,31
Timbao,2022,4,64.0,27.42,74.63,30
Timbao,2022,5,289.1,27.85,78.12,31
Timbao,2022,6,324.6,27.24,82.54,30
Timbao,2022,7,376.5,26.6,87.33,31
Timbao,2022,8,528.4,26.05,88.39,31
Timbao,2022,9,357.0,26.15,87.11,30
Timbao,2022,10,485.2,26.4,85.97,31
Timbao,2022,11,113.6,26.3,85.33,30
Timbao,2022,12,99.8,25.32,82.81,31
Timbao,2023,1,114.5,24.79,81.23,31
Timbao,2023,2,70.9,25.6,75.21,28
Timbao,2023,3,11.6,26.46,69.12,31
Timbao,2023,4,134.2,27.51,75.06,30
Timbao,2023,5,127.0,28.3,76.99,31
Timbao,2023,6,284.7,27.39,82.66,30
Timbao,2023,7,314.1,27.34,83.05,31
Timbao,2023,8,77.0,27.73,79.25,31
Timbao,2023,9,294.1,26.96,85.85,30
Timbao,2023,10,148.2,27.0,82.98,31
Timbao,2023,11,85.2,27.1,78.81,30
Timbao,2023,12,37.5,26.71,78.92,31
Timbao,2024,1,10.6,25.82,73.39,31
Timbao,2024,2,10.1,26.22,72.95,29
Timbao,2024,3,24.1,26.86,73.04,31
Timbao,2024,4,11.8,29.14,69.37,30
Timbao,2024,5,225.4,29.3,74.17,31
Timbao,2024,6,348.6,27.71,85.13,30
Timbao,2024,7,474.7,26.65,87.47,31
Timbao,2024,8,239.8,27.08,85.91,31
Timbao,2024,9,290.4,26.83,86.58,30
Timbao,2024,10,349.0,26.68,85.77,31
Timbao,2024,11,80.8,27.33,79.66,30
Timbao,2024,12,171.3,25.77,85.29,31
Timbao,2025,1,50.6,25.41,81.11,31
Timbao,2025,2,89.2,25.65,79.39,28
Timbao,2025,3,58.4,26.95,74.67,31
Timbao,2025,4,15.7,29.36,67.98,30
Timbao,2025,5,145.2,28.59,75.46,31
Timbao,2025,6,346.7,26.84,86.3,30
Timbao,2025,7,370.6,26.62,85.08,31
Timbao,2025,8,295.5,26.61,83.89,31
Timbao,2025,9,341.4,25.92,88.9,30
Timbao,2025,10,238.1,26.44,86.65,31
Timbao,2025,11,219.9,26.5,84.46,30
Timbao,2025,12,64.5,26.24,79.33,31
Zapote,2020,1,46.4,25.32,79.43,31
Zapote,2020,2,32.5,24.98,74.08,29
Zapote,2020,3,9.7,27.15,72.36,31
Zapote,2020,4,20.3,28.24,71.51,30
Zapote,2020,5,286.8,28.68,78.5,31
Zapote,2020,6,242.9,27.68,82.63,30
Zapote,2020,7,337.4,27.06,85.37,31
Zapote,2020,8,306.8,26.53,87.42,31
Zapote,2020,9,237.9,26.87,87.05,30
Zapote,2020,10,484.0,26.05,89.98,31
Zapote,2020,11,423.3,25.94,85.72,30
Zapote,2020,12,345.5,25.65,87.07,31
Zapote,2021,1,132.8,24.65,82.81,31
Zapote,2021,2,68.2,24.76,81.88,28
Zapote,2021,3,56.8,26.33,80.0,31
Zapote,2021,4,16.8,27.65,71.36,30
Zapote,2021,5,80.9,28.73,75.01,31
Zapote,2021,6,269.4,27.46,82.7,30
Zapote,2021,7,273.5,26.94,85.3,31
Zapote,2021,8,250.0,26.91,85.03,31
Zapote,2021,9,446.1,26.45,88.34,30
Zapote,2021,10,234.3,26.31,86.36,31
Zapote,2021,11,64.5,26.93,80.16,30
Zapote,2021,12,78.5,25.55,77.37,31
Zapote,2022,1,32.3,25.52,73.91,31
Zapote,2022,2,28.8,26.04,75.32,28
Zapote,2022,3,32.6,27.61,72.64,31
Zapote,2022,4,64.0,27.42,74.63,30
Zapote,2022,5,289.1,27.85,78.12,31
Zapote,2022,6,324.6,27.24,82.54,30
Zapote,2022,7,376.5,26.6,87.33,31
Zapote,2022,8,528.4,26.05,88.39,31
Zapote,2022,9,357.0,26.15,87.11,30
Zapote,2022,10,485.2,26.4,85.97,31
Zapote,2022,11,113.6,26.3,85.33,30
Zapote,2022,12,99.8,25.32,82.81,31
Zapote,2023,1,114.5,24.79,81.23,31
Zapote,2023,2,70.9,25.6,75.21,28
Zapote,2023,3,11.6,26.46,69.12,31
Zapote,2023,4,134.2,27.51,75.06,30
Zapote,2023,5,127.0,28.3,76.99,31
Zapote,2023,6,284.7,27.39,82.66,30
Zapote,2023,7,314.1,27.34,83.05,31
Zapote,2023,8,77.0,27.73,79.25,31
Zapote,2023,9,294.1,26.96,85.85,30
Zapote,2023,10,148.2,27.0,82.98,31
Zapote,2023,11,85.2,27.1,78.81,30
Zapote,2023,12,37.5,26.71,78.92,31
Zapote,2024,1,10.6,25.82,73.39,31
Zapote,2024,2,10.1,26.22,72.95,29
Zapote,2024,3,24.1,26.86,73.04,31
Zapote,2024,4,11.8,29.14,69.37,30
Zapote,2024,5,225.4,29.3,74.17,31
Zapote,2024,6,348.6,27.71,85.13,30
Zapote,2024,7,474.7,26.65,87.47,31
Zapote,2024,8,239.8,27.08,85.91,31
Zapote,2024,9,290.4,26.83,86.58,30
Zapote,2024,10,349.0,26.68,85.77,31
Zapote,2024,11,80.8,27.33,79.66,30
Zapote,2024,12,171.3,25.77,85.29,31
Zapote,2025,1,50.6,25.41,81.11,31
Zapote,2025,2,89.2,25.65,79.39,28
Zapote,2025,3,58.4,26.95,74.67,31
Zapote,2025,4,15.7,29.36,67.98,30
Zapote,2025,5,145.2,28.59,75.46,31
Zapote,2025,6,346.7,26.84,86.3,30
Zapote,2025,7,370.6,26.62,85.08,31
Zapote,2025,8,295.5,26.61,83.89,31
Zapote,2025,9,341.4,25.92,88.9,30
Zapote,2025,10,238.1,26.44,86.65,31
Zapote,2025,11,219.9,26.5,84.46,30
Zapote,2025,12,64.5,26.24,79.33,31
